_id,ILCELER,202301.0,202302.0,202303.0,202304.0,202305.0,202306.0,202307.0,202308.0,202309.0,202310.0,202311.0,202312.0
1,ADALAR,73106,73353,70012,65629,77349,91692,210910,220527,212178,146657,89679,76110
2,ARNAVUTKÖY,1419635,1441469,1539297,1479400,1613983,1588452,2020872,1879724,1935211,1841165,2440358,1728402
3,ATAŞEHİR,1944459,1961630,2001546,1732625,1972996,2219846,2398509,2082850,2372475,2213847,2013113,1936007
4,AVCILAR,1753020,1675545,1766215,1655411,1790337,1756193,2004430,1858919,1960696,1812956,1944506,1768906
5,B.ÇEKMECE,1215714,1189132,1212380,1190722,1267392,2066975,2082014,1957773,1937172,1582395,1428252,1195240
6,BAHÇELİEVLER,2338429,2320390,2473239,2101851,2415628,2376912,2649261,2321607,2478026,2513957,2425801,2368284
7,BAKIRKÖY,1161268,1222171,1206870,1074558,1145577,1213322,1429221,1270952,1401163,1934474,1237500,1221321
8,BAYRAMPAŞA,1118327,1104291,1134383,1023084,1078555,1100435,1329739,1142313,1245708,1165424,1097585,1136590
9,BAĞCILAR,2830926,2847242,2971954,2631493,2857828,2967169,3343015,3109033,3216835,3056029,2978424,2852504
10,BAŞAKŞEHİR,2412412,2334795,2476878,2205557,2311928,2604770,3327588,3208711,3059289,2727195,2622779,2387634
11,BEYKOZ,985292,964021,1287756,981023,1010760,1084768,1490132,1923898,2138272,1327916,1197725,1068286
12,BEYLİKDÜZÜ,1762424,1761869,2039639,1558493,1632753,1850670,2278987,2020269,2024167,1940253,1871217,1717258
13,BEYOĞLU,1291912,1275301,1301512,1168708,1412395,1318357,1536722,1530188,1363140,1497755,1362733,1349994
14,BEŞİKTAŞ,1225959,1153230,1179036,1214966,1133774,1635868,1341292,1702663,1523620,1560938,1743133,1221602
15,ESENLER,1605648,1631072,1680843,1509654,1653597,1617510,2069338,1630142,1793795,1676413,1678096,1651361
16,ESENYURT,4116355,4402883,4343714,4228793,4259130,4522643,4832533,4682398,5110958,4754369,4510639,4592984
17,EYÜPSULTAN,2490333,1797677,1796725,1684736,1659181,1859613,2128013,2131383,2099919,2157023,1905556,1854643
18,FATİH,2203762,2066934,2231452,1917264,2145528,2184860,2531785,2504613,2588012,2286150,2279727,2128583
19,G.O.PAŞA,1845623,1781445,1790934,1673680,1743598,1754457,1985434,1796631,1902762,1809606,1910550,1782971
20,GÜNGÖREN,1155718,1138097,1146439,1052284,1139916,1095166,1300827,1102344,1178652,1181528,1185417,1153510
21,K.ÇEKMECE,3122684,3096894,3152145,2911963,3252989,3096289,3707329,3243138,3281884,3360849,3338898,3087800
22,KADIKÖY,2576361,2422835,2431502,2427379,2465575,2090741,2796166,2379937,2610065,2666741,2618841,2598110
23,KARTAL,2110324,1902842,2140448,1864987,1915106,2146160,2464625,2044948,2399263,2229198,2432524,2029204
24,KAĞITHANE,1838775,1791989,1926731,1737592,1833057,1787503,2151721,2010395,1985926,2048319,1973870,1928211
25,MALTEPE,2211309,2057413,2192667,2030452,2105139,2267747,2827469,2204555,2343424,2509058,2365210,2240746
26,PENDİK,3068632,2945350,3139148,2954666,3089582,3023753,3372863,3475560,3701059,3359642,3171003,3186758
27,SANCAKTEPE,1783027,1778758,1890833,1696125,1796707,1796356,2211738,1868878,2018530,2096177,1900679,1995942
28,SARIYER,1775285,1856642,1860018,1681775,1808731,2461470,2616451,2370744,2380044,2097490,2073541,2002033
29,SULTANBEYLİ,1170719,1171013,1244321,1121199,1236262,1206781,1559289,1311518,1360079,1304755,1357069,1312585
30,SULTANGAZİ,1853946,1970605,1946880,1930875,1962542,1965431,2366598,2055721,2194638,2107888,2088320,1941536
31,SİLİVRİ,847453,832452,847248,749211,1058924,1194614,1620933,1387071,1302061,1560600,1481421,924671
32,TUZLA,2869021,1967845,1435716,1971209,2685968,1436793,2642995,2427585,3129415,2222530,2297808,1520811
33,ZEYTİNBURNU,1250893,1201790,1265616,1154853,1134301,1323136,1475664,1469230,1405114,1397163,1298025,1230877
34,ÇATALCA,248046,241153,235436,241339,289236,294907,429416,392442,395315,321624,1920646,252783
35,ÇEKMEKÖY,1163556,1167391,1227347,1113078,1325396,1195756,1506896,1342836,1543777,1445129,1415990,1315133
36,ÜMRANİYE,2978710,3023169,3052985,2887573,3144228,3180987,3515810,3303179,3266818,3419357,3320378,3220399
37,ÜSKÜDAR,2303817,2330066,2361515,2314347,2407845,2317833,2847432,2761449,2824410,2854450,2473725,2429018
38,ŞİLE,189905,178445,193275,177864,247452,251788,511051,505557,494990,347051,273329,228224
39,ŞİŞLİ,1876623,1477216,1610182,1504529,1590052,1616984,1817535,1920930,1870202,1686932,1776083,1717038
40,"",,,,,,,,,,,,
41,GENEL TOPLAM,70189408,67556415,69804837,64620947,69671297,71564707,84732603,78552611,82049064,78221003,77500150,70354069
