_id,Yil,Ilce,Mahalle,Gelen Ariza,Cevaplanan Ariza
1,2022,ADALAR,BURGAZADA MAH,485,430
2,2022,ADALAR,HEYBELİADA MAH,288,275
3,2022,ADALAR,KINALIADA MAH,421,380
4,2022,ADALAR,MADEN MAH,190,178
5,2022,ADALAR,NİZAM MAH,193,184
6,2022,ARNAVUTKÖY,ADNAN MENDERES MAH.,64,64
7,2022,ARNAVUTKÖY,ANADOLU MAH.,529,529
8,2022,ARNAVUTKÖY,ARNAVUTKÖY MERKEZ MAH.,293,293
9,2022,ARNAVUTKÖY,ATATÜRK MAH.,91,91
10,2022,ARNAVUTKÖY,BAKLALI MAH,114,114
11,2022,ARNAVUTKÖY,BALABAN MAH,99,99
12,2022,ARNAVUTKÖY,BOĞAZKÖY İSTİKLAL MAH.,221,221
13,2022,ARNAVUTKÖY,BOLLUCA MAH.,58,58
14,2022,ARNAVUTKÖY,BOYALIK MAH,99,99
15,2022,ARNAVUTKÖY,ÇİLİNGİR MAH.,116,116
16,2022,ARNAVUTKÖY,DELİKLİKAYA MAH.,143,143
17,2022,ARNAVUTKÖY,DURSUNKÖY MAH.,56,56
18,2022,ARNAVUTKÖY,DURUSU MAH,49,49
19,2022,ARNAVUTKÖY,FATİH MAH.,82,82
20,2022,ARNAVUTKÖY,HACIMAŞLI MAH,30,30
21,2022,ARNAVUTKÖY,HADIMKÖY MAH.,314,314
22,2022,ARNAVUTKÖY,HARAÇÇI MAH.,191,191
23,2022,ARNAVUTKÖY,HASTANE MAH.,224,224
24,2022,ARNAVUTKÖY,HİCRET MAH.,46,46
25,2022,ARNAVUTKÖY,İMRAHOR MAH.,294,294
26,2022,ARNAVUTKÖY,İSLAMBEY MAH.,404,404
27,2022,ARNAVUTKÖY,KARABURUN MAH,119,119
28,2022,ARNAVUTKÖY,KARLIBAYIR MAH.,186,186
29,2022,ARNAVUTKÖY,MAREŞAL FEVZİ ÇAKMAK MAH,137,137
30,2022,ARNAVUTKÖY,MAVİGÖL MAH.,85,85
