_id,Yil,Ilce,Mahalle,Gelen Ariza,Giderilen Ariza
1,2023,ADALAR,BURGAZADA MAH,314,271
2,2023,ADALAR,HEYBELİADA MAH,193,180
3,2023,ADALAR,KINALIADA MAH,283,262
4,2023,ADALAR,MADEN MAH,222,217
5,2023,ADALAR,NİZAM MAH,150,145
6,2023,ARNAVUTKÖY,ADNAN MENDERES MAH.,106,106
7,2023,ARNAVUTKÖY,ANADOLU MAH.,425,425
8,2023,ARNAVUTKÖY,ARNAVUTKÖY MERKEZ MAH.,470,470
9,2023,ARNAVUTKÖY,ATATÜRK MAH.,179,179
10,2023,ARNAVUTKÖY,BAKLALI MAH,94,94
11,2023,ARNAVUTKÖY,BALABAN MAH,67,67
12,2023,ARNAVUTKÖY,BOLLUCA MAH.,282,282
13,2023,ARNAVUTKÖY,BOYALIK MAH,69,69
14,2023,ARNAVUTKÖY,BOĞAZKÖY İSTİKLAL MAH.,220,220
15,2023,ARNAVUTKÖY,DELİKLİKAYA MAH.,126,126
16,2023,ARNAVUTKÖY,DURSUNKÖY MAH.,73,73
17,2023,ARNAVUTKÖY,DURUSU MAH,47,47
18,2023,ARNAVUTKÖY,FATİH MAH.,76,76
19,2023,ARNAVUTKÖY,HACIMAŞLI MAH,48,48
20,2023,ARNAVUTKÖY,HADIMKÖY MAH.,401,401
21,2023,ARNAVUTKÖY,HADIMKÖY-STANDARTDIŞI ADRES,1,1
22,2023,ARNAVUTKÖY,HARAÇÇI MAH.,200,200
23,2023,ARNAVUTKÖY,HARAÇÇI-STANDARTDIŞI ADRES,1,1
24,2023,ARNAVUTKÖY,HASTANE MAH.,314,314
25,2023,ARNAVUTKÖY,HİCRET MAH.,58,58
26,2023,ARNAVUTKÖY,KARABURUN MAH,127,127
27,2023,ARNAVUTKÖY,KARLIBAYIR MAH.,223,223
28,2023,ARNAVUTKÖY,MAREŞAL FEVZİ ÇAKMAK MAH,196,196
29,2023,ARNAVUTKÖY,MAVİGÖL MAH.,242,242
30,2023,ARNAVUTKÖY,MEHMET AKİF ERSOY MAH.,116,116
31,2023,ARNAVUTKÖY,MUSTAFA KEMAL PAŞA MAH.,368,368
32,2023,ARNAVUTKÖY,NENEHATUN MAH.,178,178
33,2023,ARNAVUTKÖY,SAZLIBOSNA MAH.,46,46
34,2023,ARNAVUTKÖY,TAYAKADIN MAH,398,398
35,2023,ARNAVUTKÖY,TAŞOLUK MAH.,154,154
36,2023,ARNAVUTKÖY,TERKOS MAH.,104,104
37,2023,ARNAVUTKÖY,YASSIÖREN MAH,78,78
38,2023,ARNAVUTKÖY,YAVUZ SELİM MAH.,259,259
39,2023,ARNAVUTKÖY,YENİKÖY MAH,68,68
40,2023,ARNAVUTKÖY,YEŞİLBAYIR MAH.,79,79
41,2023,ARNAVUTKÖY,YUNUS EMRE MAH.,186,186
42,2023,ARNAVUTKÖY,ÇİLİNGİR MAH.,115,115
43,2023,ARNAVUTKÖY,ÖMERLİ MAH.,156,156
44,2023,ARNAVUTKÖY,İMRAHOR MAH.,289,289
45,2023,ARNAVUTKÖY,İSLAMBEY MAH.,505,505
46,2023,ATAŞEHİR,ATATÜRK MAH,410,410
47,2023,ATAŞEHİR,AŞIKVEYSEL MAH,471,468
48,2023,ATAŞEHİR,BARBAROS MAH,951,936
49,2023,ATAŞEHİR,ESATPAŞA MAH,898,884
50,2023,ATAŞEHİR,FERHATPAŞA MAH,671,671
51,2023,ATAŞEHİR,FETİH MAH,172,164
52,2023,ATAŞEHİR,KAYIŞDAĞI MAH,1487,1486
53,2023,ATAŞEHİR,KÜÇÜKBAKKALKÖY MAH,679,679
54,2023,ATAŞEHİR,MEVLANA MAH,470,470
55,2023,ATAŞEHİR,MUSTAFA KEMAL MAH,878,877
56,2023,ATAŞEHİR,MİMAR SİNAN MAH,327,327
57,2023,ATAŞEHİR,YENİ ÇAMLICA MAH,323,323
58,2023,ATAŞEHİR,YENİSAHRA MAH,489,489
59,2023,ATAŞEHİR,YENİŞEHİR MAH,357,357
60,2023,ATAŞEHİR,ÖRNEK MAH,1408,1405
61,2023,ATAŞEHİR,İNÖNÜ MAH,523,523
62,2023,ATAŞEHİR,İÇERENKÖY MAH,2373,2373
63,2023,AVCILAR,AMBARLI MAH,380,380
64,2023,AVCILAR,CİHANGİR MAH,613,613
65,2023,AVCILAR,DENİZKÖŞKLER MAH,497,497
66,2023,AVCILAR,FİRUZKÖY MAH,571,571
67,2023,AVCILAR,GÜMÜSPALA MAH,490,490
68,2023,AVCILAR,MERKEZ MAH,371,371
69,2023,AVCILAR,MUSTAFA KEMALPAŞA MAH,304,304
70,2023,AVCILAR,TAHTAKALE MAH,404,404
71,2023,AVCILAR,YEŞİLKENT MH,890,890
72,2023,AVCILAR,ÜNİVERSİTE MAH,123,123
73,2023,B.ÇEKMECE,19 MAYIS MAH,263,263
74,2023,B.ÇEKMECE,AHMEDİYE MAH.,29,28
75,2023,B.ÇEKMECE,ALKENT 2000 MAH.,66,66
76,2023,B.ÇEKMECE,ATATÜRK MAH,670,670
77,2023,B.ÇEKMECE,BAHÇELİEVLER MAH,277,277
78,2023,B.ÇEKMECE,BÜYÜKÇEKMECE-STANDARTDIŞI ADRES,1,1
79,2023,B.ÇEKMECE,CELALİYE MAH,496,496
80,2023,B.ÇEKMECE,CUMHURİYET MAH,396,396
81,2023,B.ÇEKMECE,DİZDARİYE MAH,361,361
82,2023,B.ÇEKMECE,EKİNOBA MAH,229,229
83,2023,B.ÇEKMECE,FATİH MAH,661,661
84,2023,B.ÇEKMECE,GÜZELCE MAH,442,442
85,2023,B.ÇEKMECE,HÜRRİYET MAH.,701,701
86,2023,B.ÇEKMECE,KAMİLOBA MAH,499,499
87,2023,B.ÇEKMECE,KARAAĞAÇ MAH.,413,413
88,2023,B.ÇEKMECE,KUMBURGAZ MAH,462,462
89,2023,B.ÇEKMECE,MURAT ÇEŞME MAH.,422,422
90,2023,B.ÇEKMECE,MİMAROBA MAH,256,256
91,2023,B.ÇEKMECE,MİMARSİNAN MAH,422,422
92,2023,B.ÇEKMECE,PINARTEPE MAH.,511,511
93,2023,B.ÇEKMECE,SİNANOBA MAH,258,258
94,2023,B.ÇEKMECE,TÜRKOBA MAH.,415,415
95,2023,B.ÇEKMECE,ULUS MAH.,464,464
96,2023,B.ÇEKMECE,YENİMAHALLE,223,223
97,2023,B.ÇEKMECE,ÇAKMAKLI MAH.,121,121
98,2023,BAHÇELİEVLER,BAHÇELİEVLER MAH,638,638
99,2023,BAHÇELİEVLER,CUMHURİYET MAH,313,313
100,2023,BAHÇELİEVLER,FEVZİ ÇAKMAK MAH,195,195
101,2023,BAHÇELİEVLER,HÜRRİYET MAH,439,439
102,2023,BAHÇELİEVLER,KOCASİNAN MERKEZ MAH,623,620
103,2023,BAHÇELİEVLER,SOĞANLI MAH,593,593
104,2023,BAHÇELİEVLER,SİYAVUŞPAŞA MAH,423,423
105,2023,BAHÇELİEVLER,YENİBOSNA MERKEZ MAH,375,373
106,2023,BAHÇELİEVLER,ZAFER MAH,613,613
107,2023,BAHÇELİEVLER,ÇOBANÇEŞME MAH,353,353
108,2023,BAHÇELİEVLER,ŞİRİNEVLER MAH,553,553
109,2023,BAKIRKÖY,ATAKÖY 1.KISIM MAH,16,16
110,2023,BAKIRKÖY,ATAKÖY 2-5-6.KISIM MAH,37,37
111,2023,BAKIRKÖY,ATAKÖY 3-4-11.KISIM MAH,28,28
112,2023,BAKIRKÖY,ATAKÖY 7-8-9-10.KISIM MAH,78,78
113,2023,BAKIRKÖY,BASINKÖY MAH,39,39
114,2023,BAKIRKÖY,CEVİZLİK MAH,132,132
115,2023,BAKIRKÖY,KARTALTEPE MAH,494,494
116,2023,BAKIRKÖY,OSMANİYE MAH,224,224
117,2023,BAKIRKÖY,SAKIZAĞACI MAH,76,76
118,2023,BAKIRKÖY,YENİMAHALLE,48,48
119,2023,BAKIRKÖY,YEŞİLKÖY MAH,302,302
