_id,Yil,Ilce,Mahalle,Gelen Cagri Sayisi,Cevaplanan Cagri Sayisi
1,2022,ADALAR,BURGAZADA MAH,40,36
2,2022,ADALAR,HEYBELİADA MAH,21,18
3,2022,ADALAR,KINALIADA MAH,20,12
4,2022,ADALAR,MADEN MAH,36,26
5,2022,ADALAR,NİZAM MAH,23,20
6,2022,ARNAVUTKÖY,ADNAN MENDERES MAH.,11,11
7,2022,ARNAVUTKÖY,ANADOLU MAH.,317,317
8,2022,ARNAVUTKÖY,ARNAVUTKÖY MERKEZ MAH.,104,104
9,2022,ARNAVUTKÖY,ATATÜRK MAH.,42,42
10,2022,ARNAVUTKÖY,BAKLALI MAH,22,22
11,2022,ARNAVUTKÖY,BALABAN MAH,6,6
12,2022,ARNAVUTKÖY,BOĞAZKÖY İSTİKLAL MAH.,99,99
13,2022,ARNAVUTKÖY,BOLLUCA MAH.,45,45
14,2022,ARNAVUTKÖY,BOYALIK MAH,12,12
15,2022,ARNAVUTKÖY,ÇİLİNGİR MAH.,15,15
16,2022,ARNAVUTKÖY,DELİKLİKAYA MAH.,55,55
17,2022,ARNAVUTKÖY,DURSUNKÖY MAH.,14,14
18,2022,ARNAVUTKÖY,FATİH MAH.,21,21
19,2022,ARNAVUTKÖY,HACIMAŞLI MAH,24,24
20,2022,ARNAVUTKÖY,HADIMKÖY MAH.,120,120
21,2022,ARNAVUTKÖY,HARAÇÇI MAH.,45,45
22,2022,ARNAVUTKÖY,HASTANE MAH.,236,236
23,2022,ARNAVUTKÖY,HİCRET MAH.,17,17
24,2022,ARNAVUTKÖY,İMRAHOR MAH.,64,64
25,2022,ARNAVUTKÖY,İSLAMBEY MAH.,162,162
26,2022,ARNAVUTKÖY,KARABURUN MAH,46,46
27,2022,ARNAVUTKÖY,KARLIBAYIR MAH.,46,46
28,2022,ARNAVUTKÖY,MAREŞAL FEVZİ ÇAKMAK MAH,68,68
29,2022,ARNAVUTKÖY,MAVİGÖL MAH.,50,50
30,2022,ARNAVUTKÖY,MEHMET AKİF ERSOY MAH.,19,19
31,2022,ARNAVUTKÖY,MUSTAFA KEMAL PAŞA MAH.,92,92
32,2022,ARNAVUTKÖY,NENEHATUN MAH.,46,46
33,2022,ARNAVUTKÖY,ÖMERLİ MAH.,53,53
34,2022,ARNAVUTKÖY,SAZLIBOSNA MAH.,6,6
35,2022,ARNAVUTKÖY,TAŞOLUK MAH.,55,55
36,2022,ARNAVUTKÖY,TAYAKADIN MAH,72,72
37,2022,ARNAVUTKÖY,TERKOS MAH.,7,7
38,2022,ARNAVUTKÖY,YASSIÖREN MAH,65,65
39,2022,ARNAVUTKÖY,YAVUZ SELİM MAH.,88,88
40,2022,ARNAVUTKÖY,YENİKÖY MAH,48,48
41,2022,ARNAVUTKÖY,YEŞİLBAYIR MAH.,21,21
42,2022,ARNAVUTKÖY,YUNUS EMRE MAH.,66,66
43,2022,ATAŞEHİR,AŞIKVEYSEL MAH,68,68
44,2022,ATAŞEHİR,ATATÜRK MAH,44,44
45,2022,ATAŞEHİR,BARBAROS MAH,40,40
46,2022,ATAŞEHİR,ESATPAŞA MAH,193,193
47,2022,ATAŞEHİR,FERHATPAŞA MAH,128,128
48,2022,ATAŞEHİR,FETİH MAH,26,26
49,2022,ATAŞEHİR,İÇERENKÖY MAH,451,451
50,2022,ATAŞEHİR,İNÖNÜ MAH,211,211
51,2022,ATAŞEHİR,KAYIŞDAĞI MAH,283,283
