_id,YIL,ILCE,MAHALLE_ADI,GELEN ARIZA,GIDERILEN ARIZA
1,2023,ADALAR,BURGAZADA MAH,12,12
2,2023,ADALAR,HEYBELİADA MAH,20,18
3,2023,ADALAR,KINALIADA MAH,35,33
4,2023,ADALAR,MADEN MAH,47,46
5,2023,ADALAR,NİZAM MAH,39,39
6,2023,ARNAVUTKÖY,ADNAN MENDERES MAH.,130,130
7,2023,ARNAVUTKÖY,ANADOLU MAH.,745,745
8,2023,ARNAVUTKÖY,ARNAVUTKÖY MERKEZ MAH.,429,429
9,2023,ARNAVUTKÖY,ATATÜRK MAH.,41,41
10,2023,ARNAVUTKÖY,BAKLALI MAH,18,18
11,2023,ARNAVUTKÖY,BALABAN MAH,2,2
12,2023,ARNAVUTKÖY,BOLLUCA MAH.,70,70
13,2023,ARNAVUTKÖY,BOYALIK MAH,8,8
14,2023,ARNAVUTKÖY,BOĞAZKÖY İSTİKLAL MAH.,254,254
15,2023,ARNAVUTKÖY,DELİKLİKAYA MAH.,86,86
16,2023,ARNAVUTKÖY,DURSUNKÖY MAH.,2,2
17,2023,ARNAVUTKÖY,DURUSU MAH,4,4
18,2023,ARNAVUTKÖY,FATİH MAH.,93,93
19,2023,ARNAVUTKÖY,HACIMAŞLI MAH,35,35
20,2023,ARNAVUTKÖY,HADIMKÖY MAH.,137,137
21,2023,ARNAVUTKÖY,HARAÇÇI MAH.,55,55
22,2023,ARNAVUTKÖY,HASTANE MAH.,270,270
23,2023,ARNAVUTKÖY,HİCRET MAH.,16,16
24,2023,ARNAVUTKÖY,KARABURUN MAH,21,21
25,2023,ARNAVUTKÖY,KARLIBAYIR MAH.,108,108
26,2023,ARNAVUTKÖY,MAREŞAL FEVZİ ÇAKMAK MAH,77,77
27,2023,ARNAVUTKÖY,MAVİGÖL MAH.,66,66
28,2023,ARNAVUTKÖY,MEHMET AKİF ERSOY MAH.,33,33
29,2023,ARNAVUTKÖY,MUSTAFA KEMAL PAŞA MAH.,206,206
30,2023,ARNAVUTKÖY,NENEHATUN MAH.,91,91
31,2023,ARNAVUTKÖY,SAZLIBOSNA MAH.,17,17
32,2023,ARNAVUTKÖY,TAYAKADIN MAH,79,79
33,2023,ARNAVUTKÖY,TAŞOLUK MAH.,252,252
34,2023,ARNAVUTKÖY,TERKOS MAH.,8,8
35,2023,ARNAVUTKÖY,YASSIÖREN MAH,30,30
36,2023,ARNAVUTKÖY,YAVUZ SELİM MAH.,76,76
