ILCE,MAHALLE,NUFUS_2022,NUFUS_2023
ADALAR,BURGAZADA,1570,1503
ADALAR,HEYBELİADA,4424,4057
ADALAR,KINALIADA,1940,1847
ADALAR,MADEN,4213,4013
ADALAR,NİZAM,3783,3753
ARNAVUTKÖY,ADNAN MENDERES,4677,4943
ARNAVUTKÖY,ANADOLU,56864,58740
ARNAVUTKÖY,ARNAVUTKÖY MERKEZ,20131,19951
ARNAVUTKÖY,ATATÜRK,12963,13124
ARNAVUTKÖY,BAKLALI,671,818
ARNAVUTKÖY,BALABAN,289,340
ARNAVUTKÖY,BOLLUCA,9368,9756
ARNAVUTKÖY,BOYALIK,384,402
ARNAVUTKÖY,BOĞAZKÖY İSTİKLAL,12235,12696
ARNAVUTKÖY,DELİKLİKAYA,8414,855
ARNAVUTKÖY,DURSUNKÖY,424,441
ARNAVUTKÖY,DURUSU,768,784
ARNAVUTKÖY,FATİH,3779,3948
ARNAVUTKÖY,HACIMAŞLI,247,274
ARNAVUTKÖY,HADIMKÖY,26450,27479
ARNAVUTKÖY,HARAÇÇI,8477,8756
ARNAVUTKÖY,HASTANE,4395,4411
ARNAVUTKÖY,HİCRET,3943,4034
ARNAVUTKÖY,KARABURUN,1438,1570
ARNAVUTKÖY,KARLIBAYIR,13446,13844
ARNAVUTKÖY,MAREŞAL FEVZİ ÇAKMAK,6072,6745
ARNAVUTKÖY,MAVİGÖL,9756,10033
ARNAVUTKÖY,MEHMET AKİF ERSOY,6777,7045
ARNAVUTKÖY,MUSTAFA KEMAL PAŞA,13564,13678
ARNAVUTKÖY,NENEHATUN,7842,7967
ARNAVUTKÖY,SAZLIBOSNA,1029,1038
ARNAVUTKÖY,TAYAKADIN,2987,3478
ARNAVUTKÖY,TAŞOLUK,14142,14756
ARNAVUTKÖY,TERKOS,919,906
ARNAVUTKÖY,YASSIÖREN,646,646
ARNAVUTKÖY,YAVUZ SELİM,1241,12938
ARNAVUTKÖY,YENİKÖY,1518,1529
ARNAVUTKÖY,YEŞİLBAYIR,5890,6360
ARNAVUTKÖY,YUNUS EMRE,19403,20019
ARNAVUTKÖY,ÇİLİNGİR,1187,1175
ARNAVUTKÖY,ÖMERLİ,7502,7562
ARNAVUTKÖY,İMRAHOR,10958,11098
ARNAVUTKÖY,İSLAMBEY,19657,20538
ATAŞEHİR,ATATÜRK,28421,28662
ATAŞEHİR,AŞIKVEYSEL,14028,13767
ATAŞEHİR,BARBAROS,31438,30812
ATAŞEHİR,ESATPAŞA,26895,26384
ATAŞEHİR,FERHATPAŞA,27875,28143
ATAŞEHİR,FETİH,11871,11578
ATAŞEHİR,KAYIŞDAĞI,43969,43004
ATAŞEHİR,KÜÇÜKBAKKALKÖY,29885,29039
ATAŞEHİR,MEVLANA,18970,18594
ATAŞEHİR,MUSTAFA KEMAL,14647,14354
ATAŞEHİR,MİMAR SİNAN,9902,9614
ATAŞEHİR,YENİ ÇAMLICA,13085,12833
ATAŞEHİR,YENİSAHRA,9968,9487
ATAŞEHİR,YENİŞEHİR,10845,10674
ATAŞEHİR,ÖRNEK,26761,26099
ATAŞEHİR,İNÖNÜ,25659,25255
ATAŞEHİR,İÇERENKÖY,72832,71594
AVCILAR,AMBARLI,37293,35938
AVCILAR,CİHANGİR,64812,61128
AVCILAR,DENİZKÖŞKLER,43504,40179
AVCILAR,FİRUZKÖY,24302,23919
AVCILAR,GÜMÜŞPALA,37975,35348
AVCILAR,MERKEZ,29901,28154
AVCILAR,MUSTAFA KEMALPAŞA,45515,42911
AVCILAR,TAHTAKALE,52658,56152
AVCILAR,YEŞİLKENT,76859,76042
AVCILAR,ÜNİVERSİTE,23294,27065
BAHÇELİEVLER,BAHÇELİEVLER,59694,57986
BAHÇELİEVLER,CUMHURİYET,40738,39241
BAHÇELİEVLER,FEVZİ ÇAKMAK,25275,23814
BAHÇELİEVLER,HÜRRİYET,48558,45625
BAHÇELİEVLER,KOCASINAN MERKEZ,76500,74900
BAHÇELİEVLER,KOCASİNAN MERKEZ,72394,70612
BAHÇELİEVLER,SOĞANLI,66413,62585
BAHÇELİEVLER,SİYAVUŞPAŞA,63517,61139
BAHÇELİEVLER,YENİBOSNA MERKEZ,3713,36071
BAHÇELİEVLER,ZAFER,85455,81768
BAHÇELİEVLER,ÇOBANÇEŞME,33708,31334
BAHÇELİEVLER,ŞİRİNEVLER,59868,54808
BAKIRKÖY,ATAKÖY 1. KISIM,1446,1393
BAKIRKÖY,ATAKÖY 2-5-6. KISIM,12476,11885
BAKIRKÖY,ATAKÖY 3-4-11. KISIM,8172,7675
BAKIRKÖY,ATAKÖY 7-8-9-10. KISIM,25042,24196
BAKIRKÖY,BASINKÖY,5728,5571
BAKIRKÖY,CEVİZLİK,5368,5108
BAKIRKÖY,KARTALTEPE,37440,35807
BAKIRKÖY,OSMANİYE,23626,22718
BAKIRKÖY,SAKIZAĞACI,8443,8040
BAKIRKÖY,YENİMAHALLE,666,6329
BAKIRKÖY,YEŞİLKÖY,25039,24941
BAKIRKÖY,YEŞİLYURT,8433,8262
BAKIRKÖY,ZEYTİNLİK,5392,5146
BAKIRKÖY,ZUHURATBABA,20749,19625
BAKIRKÖY,ŞENLİKKÖY,29078,280
BAYRAMPAŞA,ALTINTEPSİ,29539,28989
BAYRAMPAŞA,CEVATPAŞA,18722,18177
