yil,ilce,mahalle,tesis_turu,tesis_sayisi
2022,Adalar,Burgazada Mahallesi,Eğitim Tesisi (Okul vb.),1
2022,Adalar,Heybeliada Mahallesi,Eğitim Tesisi (Okul vb.),3
2022,Adalar,Maden Mahallesi,Eğitim Tesisi (Okul vb.),1
2022,Adalar,Nizam Mahallesi,Eğitim Tesisi (Okul vb.),3
2022,Arnavutköy,Adnan Menderes Mahallesi,Eğitim Tesisi (Okul vb.),2
2022,Arnavutköy,Anadolu Mahallesi,Eğitim Tesisi (Okul vb.),5
2022,Arnavutköy,Boğazköy İstiklal Mahallesi,Eğitim Tesisi (Okul vb.),1
2022,Arnavutköy,Boğazköy İstiklal Mahallesi,Sanayi ve Fabrika,1
2022,Arnavutköy,Deliklikaya Mahallesi,Sanayi ve Fabrika,1
2022,Arnavutköy,Hacımaşlı Mahallesi,Sanayi ve Fabrika,1
2022,Arnavutköy,Hadımköy Mahallesi,Eğitim Tesisi (Okul vb.),2
2022,Arnavutköy,Hadımköy Mahallesi,Sanayi ve Fabrika,38
2022,Arnavutköy,Haraççı Mahallesi,Eğitim Tesisi (Okul vb.),1
2022,Arnavutköy,Haraççı Mahallesi,Sanayi ve Fabrika,1
2022,Arnavutköy,Hastane Mahallesi,Eğitim Tesisi (Okul vb.),2
2022,Arnavutköy,Hastane Mahallesi,Sanayi ve Fabrika,4
2022,Arnavutköy,Karlıbayır Mahallesi,Eğitim Tesisi (Okul vb.),1
2022,Arnavutköy,Mareşal Fevzi Çakmak Mahallesi,Eğitim Tesisi (Okul vb.),2
2022,Arnavutköy,Mehmet Akif Ersoy Mahallesi,Eğitim Tesisi (Okul vb.),3
2022,Arnavutköy,Mustafa Kemal Paşa Mahallesi,Eğitim Tesisi (Okul vb.),2
2022,Arnavutköy,Nene hatun Mahallesi,Eğitim Tesisi (Okul vb.),2
2022,Arnavutköy,Sazlıbosna Mahallesi,Eğitim Tesisi (Okul vb.),2
2022,Arnavutköy,Tayakadın Mahallesi,Eğitim Tesisi (Okul vb.),2
2022,Arnavutköy,Yassıören Mahallesi,Sanayi ve Fabrika,2
2022,Arnavutköy,Yeşilbayır Mahallesi,Sanayi ve Fabrika,16
2022,Arnavutköy,Yunus Emre Mahallesi,Eğitim Tesisi (Okul vb.),1
2022,Arnavutköy,Çilingir Mahallesi,Eğitim Tesisi (Okul vb.),2
2022,Arnavutköy,Ömerli Mahallesi,Eğitim Tesisi (Okul vb.),1
2022,Arnavutköy,Ömerli Mahallesi,Sanayi ve Fabrika,39
2022,Arnavutköy,İmrahor Mahallesi,Eğitim Tesisi (Okul vb.),1
2022,Arnavutköy,İmrahor Mahallesi,Sanayi ve Fabrika,1
2022,Arnavutköy,İslambey Mahallesi,Eğitim Tesisi (Okul vb.),1
2022,Ataşehir,Atatürk Mahallesi,Eğitim Tesisi (Okul vb.),15
2022,Ataşehir,Aşıkveysel Mahallesi,Eğitim Tesisi (Okul vb.),2
2022,Ataşehir,Barbaros Mahallesi,Eğitim Tesisi (Okul vb.),15
2022,Ataşehir,Barbaros Mahallesi,Sanayi ve Fabrika,1
2022,Ataşehir,Esatpaşa Mahallesi,Eğitim Tesisi (Okul vb.),3
2022,Ataşehir,Ferhatpaşa Mahallesi,Eğitim Tesisi (Okul vb.),1
