anahtar,ilce,mahalle,nufus,tuketim_dasimetrik,nufus_orani,ariza_sayisi,cevaplanan_ariza,sikayet_sayisi,cevaplanan_sikayet,kesinti_suresi_saat,kesinti_adet,egitim_tesisi_sayisi,sanayi_tesis_sayisi,ariza_yogunlugu,nufus_basi_tuketim,boru_stres_endeksi,sikayet_ariza_orani,ort_kesinti_suresi,komsu_ort_ariza,komsu_sayisi,ariza_trend,S11_PoF_Skor,S11_CoF_Skor,S11_Risk_Skoru_Surekli,S11_PoF_Seviye,S11_CoF_Seviye,S11_Risk_Carpimi_Kategorik,S11_Risk_Seviyesi
ADALAR|BURGAZADA,ADALAR,BURGAZADA,1529.8,144481.1416042861,0.09885699516879788,382.4,334.6,23.2,21.6,6.1066666666666665,1.6,1.0,0.0,248.91618037809732,94.40091924776846,36268.92977374279,0.055919627027381937,1.5266666666666666,265.6,0.0,-0.21154639175257733,0.5893434968487076,0.3315204218341987,0.1953794046805253,3,1,3,Düşük Risk (Yeşil Bölge)
ADALAR|HEYBELİADA,ADALAR,HEYBELİADA,4203.8,397207.477310356,0.2715157119257623,231.0,218.0,20.4,18.0,10.266666666666667,1.2000000000000002,3.0,0.0,54.58304156725076,94.40091924776843,21901.06693145459,0.09134283246977543,3.4222222222222225,265.6,0.0,-0.19791666666666666,0.5415477251190944,0.38638186076013054,0.20924421772193139,2,1,2,Düşük Risk (Yeşil Bölge)
ADALAR|KINALIADA,ADALAR,KINALIADA,1884.2,177962.67811428176,0.1217507525364814,338.2,309.2,29.0,24.6,20.103666666666665,3.4,0.0,0.0,178.73698781529257,94.40091924776844,32063.598602862345,0.09320732229337846,4.3407333333333336,265.6,0.0,-0.19667458432304033,0.606863627575006,0.3890481806319906,0.236099190199786,3,1,3,Düşük Risk (Yeşil Bölge)
ADALAR|MADEN,ADALAR,MADEN,4093.0,386581.81423947425,0.26447759961497,209.2,201.39999999999998,42.6,38.0,10.415333333333333,3.4,1.6,0.0,51.23152744323886,94.40091924776844,19716.856025295867,0.20281650071123752,3.019,167.2,1.0,0.10105263157894732,0.545288171081053,0.4677454065728165,0.25505603728165466,2,1,2,Düşük Risk (Yeşil Bölge)
ADALAR|NİZAM,ADALAR,NİZAM,3765.0,355449.2887316019,0.24339894075398824,167.2,160.60000000000002,32.6,31.4,4.533833333333334,1.6,2.4000000000000004,0.0,44.38789967233191,94.40091924776846,15826.586826273866,0.2036683937823834,3.02025,209.2,1.0,-0.13367875647668387,0.5335412696249071,0.43108172291300895,0.2299998897550992,2,1,2,Düşük Risk (Yeşil Bölge)
ARNAVUTKÖY|ADNAN MENDERES,ARNAVUTKÖY,ADNAN MENDERES,4836.6,295744.05717417976,0.014699664175302201,89.19999999999999,89.19999999999999,82.4,82.4,92.66241666666667,7.999999999999999,2.0,0.0,18.34027433805896,61.09984515796104,5486.19241175097,0.8045990566037735,9.857979166666668,160.73333333333335,6.0,0.39375,0.5092832811281727,0.5891690537562243,0.30005394883615066,1,2,2,Düşük Risk (Yeşil Bölge)
ARNAVUTKÖY|ANADOLU,ARNAVUTKÖY,ANADOLU,57989.600000000006,3544767.432095615,0.17628702506309035,466.6,466.6,273.5,270.0,111.15575000000001,21.2,5.0,0.0,8.062323710699019,61.09984515796104,28419.83138735396,0.5929229400644946,5.053902472527472,295.6,4.0,-0.11795841209829863,0.5555175197442659,0.7614053168504835,0.4229739931368775,2,3,6,Orta Risk (Sarı Bölge)
ARNAVUTKÖY|ARNAVUTKÖY MERKEZ,ARNAVUTKÖY,ARNAVUTKÖY MERKEZ,20023.0,1223247.5443535931,0.0608957986440017,399.2,399.2,205.7,203.6,97.88908333333335,20.8,0.0,0.0,19.956496615754844,61.09984515796104,24543.135843914464,0.4911284583545131,4.396905952380953,265.025,8.0,0.362457337883959,0.571049418853618,0.6675239139094972,0.38118914310891094,2,3,6,Orta Risk (Sarı Bölge)
ARNAVUTKÖY|ATATÜRK,ARNAVUTKÖY,ATATÜRK,13059.6,798077.8683489414,0.03970920118488118,143.79999999999998,143.79999999999998,41.4,41.4,42.50716666666667,8.8,0.0,0.0,10.991472623310248,61.09984515796105,8861.766964242282,0.32204555221314995,4.928729166666667,275.92,5.0,0.5802197802197802,0.5195414342563649,0.5548085967234466,0.28824605407946063,1,2,2,Düşük Risk (Yeşil Bölge)
ARNAVUTKÖY|BAKLALI,ARNAVUTKÖY,BAKLALI,759.2,46513.30422673698,0.002304052907521,102.0,102.0,19.6,19.6,14.466666666666665,3.6,0.0,0.0,136.90692649368347,61.09984515796104,6215.000290083053,0.19208659947741688,3.813333333333333,169.3,4.0,-0.1052631578947368,0.5246164091196922,0.3905339231664171,0.2048805044109915,2,1,2,Düşük Risk (Yeşil Bölge)
ARNAVUTKÖY|BALABAN,ARNAVUTKÖY,BALABAN,319.6,19571.32949835823,0.00097028226082752,79.8,79.8,3.6000000000000005,3.6000000000000005,24.947333333333336,5.4,0.0,0.0,255.25951557093424,61.09984515796104,4848.2733779589325,0.04215287200361826,4.793111111111111,67.075,8.0,-0.1939393939393939,0.500631121799347,0.3245269848632183,0.16246830848623267,1,1,1,Düşük Risk (Yeşil Bölge)
ARNAVUTKÖY|BOLLUCA,ARNAVUTKÖY,BOLLUCA,9600.8,586940.7613635145,0.029183743079195697,192.39999999999998,192.39999999999998,60.0,60.0,95.05575,8.799999999999999,0.0,0.0,19.81968923019717,61.09984515796104,11948.070067916211,0.4592809977989728,9.174645833333335,166.43333333333337,6.0,2.317241379310345,0.5506005732919754,0.5857701862752718,0.32252540038051186,2,2,4,Orta Risk (Sarı Bölge)
