ilce,mahalle,anahtar,yil,S1_Skor,S1_Risk_Seviyesi,S2_Skor,S2_Risk_Seviyesi,S3_Skor,S3_Risk_Seviyesi,S4_Skor,S4_Risk_Seviyesi,S5_Skor,S5_Risk_Seviyesi,S6_Skor,S6_Risk_Seviyesi,S7_Skor,S7_Risk_Seviyesi,S8_Skor,S8_Risk_Seviyesi,S9_Skor,S9_Risk_Seviyesi
ADALAR,BURGAZADA,ADALAR|BURGAZADA,2022,0.1700393851068514,Düşük Risk,0.04953943859646856,Düşük Risk,0.18132808954662966,Orta Risk,0.001079374882244171,Düşük Risk,0.0482424164651506,Düşük Risk,0.04953943859646856,Düşük Risk,0.47568088280079374,Orta Risk,0.46513723717751976,Orta Risk,0.055564597644845413,Düşük Risk
ADALAR,HEYBELİADA,ADALAR|HEYBELİADA,2022,0.14059283610974135,Düşük Risk,0.04834196059820089,Düşük Risk,0.17774596499801393,Orta Risk,0.0007973409161691509,Düşük Risk,0.041288605960846846,Düşük Risk,0.04834196059820089,Düşük Risk,0.49926666106555606,Orta Risk,0.4930308186210685,Yüksek Risk,0.054400278475259134,Düşük Risk
ADALAR,KINALIADA,ADALAR|KINALIADA,2022,0.11152241274764982,Düşük Risk,0.033808144719687766,Düşük Risk,0.14922007941917295,Orta Risk,0.0003240448090591407,Düşük Risk,0.040107616434344705,Düşük Risk,0.033808144719687766,Düşük Risk,0.40044095301816807,Orta Risk,0.3554781110374749,Orta Risk,0.04026891200416677,Düşük Risk
ADALAR,MADEN,ADALAR|MADEN,2022,0.10835680839406274,Düşük Risk,0.03660444624066604,Düşük Risk,0.15719155782950406,Orta Risk,0.0006130990490468162,Düşük Risk,0.03109512170617825,Düşük Risk,0.03660444624066604,Düşük Risk,0.47078514589361775,Orta Risk,0.44955937191540774,Orta Risk,0.04048519363378203,Düşük Risk
ADALAR,NİZAM,ADALAR|NİZAM,2022,0.0768506143988696,Düşük Risk,0.032762471916198126,Düşük Risk,0.1451186240152836,Orta Risk,0.0006309028042322336,Düşük Risk,0.02875142088363204,Düşük Risk,0.032762471916198126,Düşük Risk,0.45028091784722857,Orta Risk,0.42849660311217613,Orta Risk,0.03667662565507796,Düşük Risk
ARNAVUTKÖY,ADNAN MENDERES,ARNAVUTKÖY|ADNAN MENDERES,2022,0.06008874218513603,Düşük Risk,0.026717116665386797,Düşük Risk,0.09648220527081547,Düşük Risk,0.0004253766659727314,Düşük Risk,0.021489647810240653,Düşük Risk,0.026717116665386797,Düşük Risk,0.45241834914190493,Orta Risk,0.40144343736503324,Orta Risk,0.03229384104835507,Düşük Risk
ARNAVUTKÖY,ANADOLU,ARNAVUTKÖY|ANADOLU,2022,0.6050898328844567,Yüksek Risk,0.13381661230740446,Yüksek Risk,0.3237630318779497,Yüksek Risk,0.0006338437415517468,Düşük Risk,0.11842099856577125,Orta Risk,0.13381661230740446,Orta Risk,0.5699497331683692,Yüksek Risk,0.5649081912451531,Yüksek Risk,0.13748870360960688,Yüksek Risk
ARNAVUTKÖY,ARNAVUTKÖY MERKEZ,ARNAVUTKÖY|ARNAVUTKÖY MERKEZ,2022,0.252424309254602,Orta Risk,0.05982030345539818,Düşük Risk,0.17158810010736733,Orta Risk,0.00023258251965419454,Düşük Risk,0.05272841736973353,Düşük Risk,0.05982030345539818,Düşük Risk,0.5031645999234892,Orta Risk,0.45797979444628845,Orta Risk,0.06788534465261006,Düşük Risk
ARNAVUTKÖY,ATATÜRK,ARNAVUTKÖY|ATATÜRK,2022,0.16456808253998806,Düşük Risk,0.044731386709555475,Düşük Risk,0.14063095248829108,Orta Risk,0.00017311839808780173,Düşük Risk,0.04021588727044622,Düşük Risk,0.044731386709555475,Düşük Risk,0.4870506953693822,Orta Risk,0.43589034767881235,Orta Risk,0.05219916110375576,Düşük Risk
ARNAVUTKÖY,BAKLALI,ARNAVUTKÖY|BAKLALI,2022,0.0562769681051518,Düşük Risk,0.0213456944297456,Düşük Risk,0.0875524859628766,Düşük Risk,0.0003256224989058947,Düşük Risk,0.01802513337081199,Düşük Risk,0.0213456944297456,Düşük Risk,0.40663827749776393,Orta Risk,0.3522424962608663,Orta Risk,0.026800281795261234,Düşük Risk
