ilce,mahalle,anahtar,yil,nufus,tuketim_dasimetrik,nufus_orani,ariza_sayisi,cevaplanan_ariza,sikayet_sayisi,cevaplanan_sikayet,kesinti_suresi_saat,kesinti_adet,egitim_tesisi_sayisi,sanayi_tesis_sayisi,ariza_yogunlugu,nufus_basi_tuketim,boru_stres_endeksi,sikayet_ariza_orani,ort_kesinti_suresi,komsu_ort_ariza,komsu_sayisi,ariza_trend
ADALAR,BURGAZADA,ADALAR|BURGAZADA,2022,1570,152111.90897677338,0.09855618330194602,485.0,430.0,40.0,36.0,15.266666666666666,4.0,1.0,0.0,308.9171974522293,96.88656622724419,46989.98462021343,0.08247422680412371,3.8166666666666664,315.4,0,0.0
ADALAR,HEYBELİADA,ADALAR|HEYBELİADA,2022,4424,428626.16898932826,0.27771500313873193,288.0,275.0,21.0,18.0,25.666666666666668,3.0,3.0,0.0,65.0994575045208,96.88656622724419,27903.331073446327,0.07291666666666667,8.555555555555555,315.4,0,0.0
ADALAR,KINALIADA,ADALAR|KINALIADA,2022,1940,187959.9384808537,0.12178279974890144,421.0,380.0,20.0,12.0,1.0,1.0,0.0,0.0,217.01030927835052,96.88656622724419,40789.2443816698,0.047505938242280284,1.0,315.4,0,0.0
ADALAR,MADEN,ADALAR|MADEN,2022,4213,408183.1035153798,0.26446955430006275,190.0,178.0,36.0,26.0,13.583333333333332,4.0,1.0,0.0,45.09850462853074,96.88656622724419,18408.447583176396,0.18947368421052632,3.395833333333333,193.0,1,0.0
ADALAR,NİZAM,ADALAR|NİZAM,2022,3783,366521.8800376648,0.2374764595103578,193.0,184.0,23.0,20.0,3.7666666666666666,1.0,3.0,0.0,51.01771081152524,96.88656622724419,18699.107281858127,0.11917098445595854,3.7666666666666666,190.0,1,0.0
ARNAVUTKÖY,ADNAN MENDERES,ARNAVUTKÖY|ADNAN MENDERES,2022,4677,275717.82889534504,0.014594964004081721,64.0,64.0,11.0,11.0,12.816666666666668,2.0,2.0,0.0,13.683985460765447,58.951855654339326,3772.918761877717,0.171875,6.408333333333334,153.83333333333334,6,0.0
ARNAVUTKÖY,ANADOLU,ARNAVUTKÖY|ANADOLU,2022,56864,3352238.3199283513,0.17744879904385355,529.0,529.0,273.5,270.0,59.05,14.0,5.0,0.0,9.302898142937536,58.951855654339326,31185.531641145502,0.5170132325141777,4.2178571428571425,236.5,4,0.0
ARNAVUTKÖY,ARNAVUTKÖY MERKEZ,ARNAVUTKÖY|ARNAVUTKÖY MERKEZ,2022,20131,1186759.8061775048,0.06282044480781893,293.0,293.0,104.0,104.0,25.883333333333333,7.0,0.0,0.0,14.554666931598032,58.95185565433932,17272.89370672142,0.35494880546075086,3.6976190476190474,254.75,8,0.0
ARNAVUTKÖY,ATATÜRK,ARNAVUTKÖY|ATATÜRK,2022,12963,764192.9048472006,0.040452109981807004,91.0,91.0,42.0,42.0,38.46666666666667,10.0,0.0,0.0,7.019979942914449,58.95185565433932,5364.618864544878,0.46153846153846156,3.8466666666666667,271.6,5,0.0
ARNAVUTKÖY,BAKLALI,ARNAVUTKÖY|BAKLALI,2022,671,39556.69514406168,0.002093910807513114,114.0,114.0,22.0,22.0,5.9,3.0,0.0,0.0,169.8956780923994,58.95185565433932,6720.511544594682,0.19298245614035087,1.9666666666666668,181.75,4,0.0
ARNAVUTKÖY,BALABAN,ARNAVUTKÖY|BALABAN,2022,289,17037.086284104065,0.000901848320970626,99.0,99.0,6.0,6.0,16.133333333333333,3.0,0.0,0.0,342.560553633218,58.951855654339326,5836.2337097795935,0.06060606060606061,5.377777777777777,74.125,8,0.0
ARNAVUTKÖY,BOLLUCA,ARNAVUTKÖY|BOLLUCA,2022,9368,552260.9837698508,0.029233616162120498,58.0,58.0,45.0,45.0,18.8,4.0,0.0,0.0,6.191289496157131,58.951855654339326,3419.207627951681,0.7758620689655172,4.7,143.33333333333334,6,0.0
ARNAVUTKÖY,BOYALIK,ARNAVUTKÖY|BOYALIK,2022,384,22637.512571266303,0.0011983036513934962,99.0,99.0,12.0,12.0,20.75,4.0,0.0,0.0,257.8125,58.95185565433933,5836.233709779594,0.12121212121212122,5.1875,91.0,5,0.0
ARNAVUTKÖY,BOĞAZKÖY İSTİKLAL,ARNAVUTKÖY|BOĞAZKÖY İSTİKLAL,2022,12235,721275.9539308416,0.038180325976040166,221.0,221.0,99.0,99.0,42.66666666666667,14.0,1.0,1.0,18.062934205149162,58.951855654339326,13028.360099608992,0.4479638009049774,3.047619047619048,151.0,11,0.0
ARNAVUTKÖY,DELİKLİKAYA,ARNAVUTKÖY|DELİKLİKAYA,2022,8414,496020.9134756111,0.02625658052818978,143.0,143.0,55.0,55.0,95.61666666666667,18.0,0.0,1.0,16.995483717613503,58.951855654339326,8430.115358570523,0.38461538461538464,5.312037037037038,302.4,5,0.0
ARNAVUTKÖY,DURSUNKÖY,ARNAVUTKÖY|DURSUNKÖY,2022,424,24995.58679743987,0.0013231269484136519,56.0,56.0,14.0,14.0,31.316666666666666,8.0,0.0,0.0,132.0754716981132,58.95185565433932,3301.3039166430017,0.25,3.9145833333333333,169.0,7,0.0
