,ariza_sayisi,tuketim_dasimetrik,kesinti_suresi_saat,sikayet_sayisi,nufus,ariza_yogunlugu,boru_stres_endeksi,sikayet_ariza_orani,ort_kesinti_suresi,ariza_trend,nufus_basi_tuketim,egitim_tesisi_sayisi,sanayi_tesis_sayisi,komsu_ort_ariza,komsu_sayisi
ariza_sayisi,1.0,0.6440197174919403,0.4855917832698223,0.7677608216952503,0.6184919112848353,0.1225671392147163,0.9677181573513349,0.05390581899672885,0.1033778288989377,0.1184618918013226,0.019447671781734507,0.4931430896569067,0.14102640049924822,0.6808752989430854,0.12568912324505752
tuketim_dasimetrik,0.6440197174919403,1.0,0.3400137484333994,0.6664706651306201,0.9773009929517206,-0.5837526514205218,0.6231190535124105,0.28056657252207245,0.12104742256698496,0.04756490755000737,-0.02945160808198759,0.55872278995734,0.11955583226913663,0.5563383127857683,0.16187135056556345
kesinti_suresi_saat,0.4855917832698223,0.3400137484333994,1.0,0.5393395536287463,0.30107665578837217,0.07845058185855107,0.49896346489090115,0.2828928058467891,0.6871791494786328,0.0754429389007159,0.18094481244608807,0.2721214283482551,0.07083402737728983,0.38190878750148916,0.09899151804090621
sikayet_sayisi,0.7677608216952503,0.6664706651306201,0.5393395536287463,1.0,0.6451343468610805,-0.11129455402097548,0.7348812769229373,0.6324735406816053,0.21333097254904274,0.09884340320426493,-0.014452095843579005,0.4764890807130416,0.16165837425810867,0.551097853876634,0.14407526470861357
nufus,0.6184919112848353,0.9773009929517206,0.30107665578837217,0.6451343468610805,1.0,-0.6449334645506365,0.5550887811728745,0.2662405467477498,0.09249058816116486,0.06857504429580381,-0.20549430568812876,0.5339183319219001,0.1267196745264136,0.5349335565869868,0.16387107198698148
ariza_yogunlugu,0.1225671392147163,-0.5837526514205218,0.07845058185855107,-0.11129455402097548,-0.6449334645506365,1.0,0.17347793804124875,-0.27807045278516784,0.003091150391876956,0.010107802510056966,0.31183445055013936,-0.19792404133951008,-0.026601097597387147,-0.033561445954106414,-0.08217666709982697
boru_stres_endeksi,0.9677181573513349,0.6231190535124105,0.49896346489090115,0.7348812769229373,0.5550887811728745,0.17347793804124875,1.0,0.049270188964182185,0.12250703343335617,0.09518403996424385,0.23560603139084235,0.4854091547939035,0.10834804464770816,0.6599852852321533,0.10743937026634402
sikayet_ariza_orani,0.05390581899672885,0.28056657252207245,0.2828928058467891,0.6324735406816053,0.2662405467477498,-0.27807045278516784,0.049270188964182185,1.0,0.21950361815963604,0.009621375109920744,0.022062873259687275,0.18895104585754421,0.08551057612269941,0.10112391195036598,0.08711962026183641
ort_kesinti_suresi,0.1033778288989377,0.12104742256698496,0.6871791494786328,0.21333097254904274,0.09249058816116486,0.003091150391876956,0.12250703343335617,0.21950361815963604,1.0,0.04547496836582701,0.1603100492786488,0.07453107345964428,0.027612805840247792,0.09720045101410413,0.017062711356717285
ariza_trend,0.1184618918013226,0.04756490755000737,0.0754429389007159,0.09884340320426493,0.06857504429580381,0.010107802510056966,0.09518403996424385,0.009621375109920744,0.04547496836582701,1.0,-0.07884931615214398,0.05271395377175404,0.04929905630964263,0.05374431907148805,-0.0007324886061811129
nufus_basi_tuketim,0.019447671781734507,-0.02945160808198759,0.18094481244608807,-0.014452095843579005,-0.20549430568812876,0.31183445055013936,0.23560603139084235,0.022062873259687275,0.1603100492786488,-0.07884931615214398,1.0,0.038163542313970046,-0.11227237681078973,-0.0023912268788491334,-0.07069463066279003
egitim_tesisi_sayisi,0.4931430896569067,0.55872278995734,0.2721214283482551,0.4764890807130416,0.5339183319219001,-0.19792404133951008,0.4854091547939035,0.18895104585754421,0.07453107345964428,0.05271395377175404,0.038163542313970046,1.0,0.21898429334088126,0.4461228283692759,0.23138789534939777
sanayi_tesis_sayisi,0.14102640049924822,0.11955583226913663,0.07083402737728983,0.16165837425810867,0.1267196745264136,-0.026601097597387147,0.10834804464770816,0.08551057612269941,0.027612805840247792,0.04929905630964263,-0.11227237681078973,0.21898429334088126,1.0,0.08627582045610256,0.17987312175383124
komsu_ort_ariza,0.6808752989430854,0.5563383127857683,0.38190878750148916,0.551097853876634,0.5349335565869868,-0.033561445954106414,0.6599852852321533,0.10112391195036598,0.09720045101410413,0.05374431907148805,-0.0023912268788491334,0.4461228283692759,0.08627582045610256,1.0,0.04609032118002027
komsu_sayisi,0.12568912324505752,0.16187135056556345,0.09899151804090621,0.14407526470861357,0.16387107198698148,-0.08217666709982697,0.10743937026634402,0.08711962026183641,0.017062711356717285,-0.0007324886061811129,-0.07069463066279003,0.23138789534939777,0.17987312175383124,0.04609032118002027,1.0
