ilce,mahalle,anahtar,yil,nufus,tuketim_dasimetrik,nufus_orani,ariza_sayisi,cevaplanan_ariza,sikayet_sayisi,cevaplanan_sikayet,kesinti_suresi_saat,kesinti_adet,egitim_tesisi_sayisi,sanayi_tesis_sayisi,ariza_yogunlugu,nufus_basi_tuketim,boru_stres_endeksi,sikayet_ariza_orani,ort_kesinti_suresi,komsu_ort_ariza,komsu_sayisi,ariza_trend
ADALAR,BURGAZADA,ADALAR|BURGAZADA,2022,0.013315920206908914,152111.90897677338,0.098556183301946,0.5525491313016234,430.0,0.14625228519195613,36.0,0.10464296016199094,4.0,0.014285714285714285,0.0,0.00870773308254606,0.8780307773671489,46989.98462021343,0.029240862230552944,0.05232148008099547,0.36817888278979655,0.0,0.08684998638714948
ADALAR,HEYBELİADA,ADALAR|HEYBELİADA,2022,0.037677225508523045,428626.16898932826,0.2777150031387319,0.3281116491028197,275.0,0.07678244972577697,18.0,0.17592812079636033,3.0,0.04285714285714286,0.0,0.0018350182652281033,0.8780307773671489,27903.331073446327,0.025852272727272703,0.11728541386424021,0.36817888278979655,0.0,0.08684998638714948
ADALAR,KINALIADA,ADALAR|KINALIADA,2022,0.016474183332906542,187959.9384808537,0.1217827997489014,0.47963543150099686,380.0,0.07312614259597806,12.0,0.006854342368689363,1.0,0.0,0.0,0.0061170691205978,0.8780307773671489,40789.2443816698,0.016843014467717524,0.013708684737378726,0.36817888278979655,0.0,0.08684998638714948
ADALAR,MADEN,ADALAR|MADEN,2022,0.03587616194207575,408183.1035153798,0.2644695543000627,0.21646254628311024,178.0,0.1316270566727605,26.0,0.09310481717469718,4.0,0.014285714285714285,0.0,0.001271233016374692,0.8780307773671489,18408.447583176396,0.06717703349282296,0.04655240858734859,0.2199709396189861,0.0625,0.08684998638714948
ADALAR,NİZAM,ADALAR|NİZAM,2022,0.032205748038889315,366521.8800376648,0.2374764595103578,0.21988037596126458,184.0,0.08409506398537477,20.0,0.02581802292206327,1.0,0.04285714285714286,0.0,0.001438083123546349,0.8780307773671489,18699.107281858127,0.0422515308525671,0.05163604584412654,0.21633839199225055,0.0625,0.08684998638714948
ARNAVUTKÖY,ADNAN MENDERES,ARNAVUTKÖY|ADNAN MENDERES,2022,0.039836794619002504,275717.82889534504,0.0145949640040817,0.0729136998006266,64.0,0.04021937842778794,11.0,0.08784982135870202,2.0,0.02857142857142857,0.0,0.00038572308010211334,0.46479893754868806,3772.918761877717,0.0609375,0.08784982135870202,0.17254601226993865,0.375,0.08684998638714948
ARNAVUTKÖY,ANADOLU,ARNAVUTKÖY|ANADOLU,2022,0.4852970047715381,3352238.3199283513,0.1774487990438535,0.6026772999145542,529.0,1.0,270.0,0.40474891687110687,14.0,0.07142857142857142,0.0,0.0002622293436264272,0.46479893754868806,31185.531641145502,0.18330469152775392,0.05782127383872956,0.27264288020665156,0.25,0.08684998638714948
ARNAVUTKÖY,ARNAVUTKÖY MERKEZ,ARNAVUTKÖY|ARNAVUTKÖY MERKEZ,2022,0.17174976313026555,1186759.8061775048,0.0628204448078189,0.3338080318997437,293.0,0.3802559414990859,104.0,0.17741322830957634,7.0,0.0,0.0,0.00041026577927994455,0.46479893754868806,17272.89370672142,0.125845485572448,0.0506894938027361,0.29474087826929285,0.5,0.08684998638714948
ARNAVUTKÖY,ATATÜRK,ARNAVUTKÖY|ATATÜRK,2022,0.11056481694877639,764192.9048472006,0.040452109981807,0.10367416690401594,91.0,0.15356489945155394,42.0,0.2636637031155842,10.0,0.0,0.0,0.00019787862926336032,0.46479893754868806,5364.618864544878,0.1636363636363636,0.05273274062311683,0.3151436874394576,0.3125,0.08684998638714948
ARNAVUTKÖY,BAKLALI,ARNAVUTKÖY|BAKLALI,2022,0.0056421943953633286,39556.69514406168,0.0020939108075131,0.12987752776986614,114.0,0.08043875685557587,22.0,0.040440619975267246,3.0,0.0,0.0,0.004789005691195151,0.46479893754868806,6720.511544594682,0.06842105263157892,0.02696041331684483,0.20634888601872778,0.25,0.08684998638714948
ARNAVUTKÖY,BALABAN,ARNAVUTKÖY|BALABAN,2022,0.0023815011139279403,17037.086284104065,0.0009018483209706,0.11278837937909428,99.0,0.021937842778793418,6.0,0.11058339021485507,3.0,0.0,0.0,0.00965606929704373,0.46479893754868806,5836.2337097795935,0.02148760330578512,0.0737222601432367,0.07603123990958992,0.5,0.08684998638714948
ARNAVUTKÖY,BOLLUCA,ARNAVUTKÖY|BOLLUCA,2022,0.07987844954888053,552260.9837698508,0.0292336161621204,0.06607804044431786,58.0,0.16453382084095064,45.0,0.12886163653136004,4.0,0.0,0.0,0.00017451956969033523,0.46479893754868806,3419.207627951681,0.2750783699059561,0.06443081826568002,0.1598320955763642,0.375,0.08684998638714948
ARNAVUTKÖY,BOYALIK,ARNAVUTKÖY|BOYALIK,2022,0.0031924065111435473,22637.512571266303,0.0011983036513934,0.11278837937909428,99.0,0.043875685557586835,12.0,0.1422276041503043,4.0,0.0,0.0,0.0072671979865771815,0.46479893754868823,5836.233709779594,0.04297520661157024,0.07111380207515215,0.0964643203099774,0.3125,0.08684998638714948
ARNAVUTKÖY,BOĞAZKÖY İSTİKLAL,ARNAVUTKÖY|BOĞAZKÖY İSTİKLAL,2022,0.10435072085221889,721275.9539308416,0.0381803259760401,0.25178011962403873,221.0,0.3619744058500914,99.0,0.29245194106407957,14.0,0.014285714285714285,0.002793296089385475,0.0005091565346417884,0.46479893754868806,13028.360099608992,0.1588235294117647,0.04177884872343993,0.16911527284468839,0.6875,0.08684998638714948
ARNAVUTKÖY,DELİKLİKAYA,ARNAVUTKÖY|DELİKLİKAYA,2022,0.07173525219157853,496020.9134756111,0.0262565805281897,0.16291654799202507,143.0,0.20109689213893966,55.0,0.6553893694861813,18.0,0.0,0.002793296089385475,0.0004790673262683001,0.46479893754868806,8430.115358570523,0.13636363636363635,0.07282104105402015,0.3524378430739425,0.3125,0.08684998638714948
ARNAVUTKÖY,DURSUNKÖY,ARNAVUTKÖY|DURSUNKÖY,2022,0.0035338403626027502,24995.58679743987,0.0013231269484136,0.06379948732554827,56.0,0.051188299817184646,14.0,0.21465515517945521,8.0,0.0,0.0,0.0037229327592756744,0.46479893754868806,3301.3039166430017,0.08863636363636362,0.05366378879486381,0.1909105586051017,0.4375,0.08684998638714948
ARNAVUTKÖY,DURUSU,ARNAVUTKÖY|DURUSU,2022,0.0064701714851518955,45275.025142532606,0.0023966073027869,0.05582455140985474,49.0,0.0,0.0,0.1089840436621609,2.0,0.0,0.0,0.0017984479865771812,0.46479893754868823,2888.6409270626273,0.0,0.1089840436621609,0.2518566354536649,0.1875,0.08684998638714948
ARNAVUTKÖY,FATİH,ARNAVUTKÖY|FATİH,2022,0.03217160465374339,222779.06251774833,0.0117926809859792,0.09342067786955284,82.0,0.07678244972577697,21.0,0.20654418337650615,8.0,0.0,0.0,0.0006116457782411099,0.46479893754868823,4834.052163655825,0.0907982261640798,0.05163604584412654,0.26144252502421694,0.25,0.08684998638714948
ARNAVUTKÖY,HACIMAŞLI,ARNAVUTKÖY|HACIMAŞLI,2022,0.0020229955698957774,14561.108346621812,0.0007707838590994,0.03417829678154372,30.0,0.08775137111517367,24.0,0.04683800618604399,2.0,0.0,0.002793296089385475,0.003423633942885091,0.46479893754868806,1768.55566963018,0.28363636363636363,0.04683800618604399,0.25508556667742976,0.375,0.08684998638714948
ARNAVUTKÖY,HADIMKÖY,ARNAVUTKÖY|HADIMKÖY,2022,0.22568777581453314,1559276.582057275,0.082539405154578,0.3577328396468243,314.0,0.43875685557586835,120.0,0.863761377494338,25.0,0.02857142857142857,0.10614525139664804,0.0003346316337016785,0.46479893754868823,18510.88267546255,0.1354950781702374,0.06910091019954703,0.1102680012915725,0.3125,0.08684998638714948
ARNAVUTKÖY,HARAÇÇI,ARNAVUTKÖY|HARAÇÇI,2022,0.07227301050762677,499734.88038183446,0.0264531772209965,0.21760182284249502,191.0,0.16453382084095064,45.0,0.5932433320100644,14.0,0.014285714285714285,0.002793296089385475,0.000635117685201093,0.46479893754868806,11259.80442997881,0.08353165159447881,0.0847490474300092,0.13384928963513076,0.5,0.08684998638714948
ARNAVUTKÖY,HASTANE,ARNAVUTKÖY|HASTANE,2022,0.03742968596621512,259093.40560082137,0.0137149597600896,0.2551979493021931,224.0,0.8628884826325411,236.0,0.5416072861659379,13.0,0.02857142857142857,0.0111731843575419,0.0014366539157523422,0.46479893754868806,13205.215666572009,0.373538961038961,0.08332419787168274,0.14877300613496933,0.3125,0.08684998638714948
ARNAVUTKÖY,HİCRET,ARNAVUTKÖY|HİCRET,2022,0.03357148344472613,232447.16684505995,0.0123044565037618,0.05240672173170037,46.0,0.062157221206581355,17.0,0.17604235983583852,4.0,0.0,0.0,0.0003288471456510306,0.46479893754868806,2711.785360099609,0.13102766798418972,0.08802117991791925,0.2189618986115595,0.375,0.08684998638714948
ARNAVUTKÖY,KARABURUN,ARNAVUTKÖY|KARABURUN,2022,0.012189188497093544,84772.76843093995,0.0044873975278746,0.13557391056679008,119.0,0.16819012797074953,46.0,0.23030590358796263,7.0,0.0,0.0,0.0023326581475016568,0.46479893754868806,7015.27082286638,0.13705118411000763,0.06580168673941789,0.1162415240555376,0.1875,0.08684998638714948
ARNAVUTKÖY,KARLIBAYIR,ARNAVUTKÖY|KARLIBAYIR,2022,0.11468763070514626,792666.6511282466,0.0419593512933253,0.21190544004557108,186.0,0.16819012797074953,46.0,0.1328600029130955,6.0,0.014285714285714285,0.0,0.0003899265967673827,0.46479893754868806,10965.045151707114,0.08768328445747799,0.0442866676376985,0.2677994833710042,0.25,0.08684998638714948
