column,skewness,kurtosis,method
ariza_sayisi,1.0318,0.3055,MinMax (Track A)
ariza_trend,7.6591,118.0471,MinMax (Track A)
ariza_yogunlugu,23.1401,609.4962,MinMax (Track A)
egitim_tesisi_sayisi,5.1323,47.2657,MinMax (Track A)
kesinti_suresi_saat,1.1193,-0.2417,MinMax (Track A)
komsu_ort_ariza,0.56,-0.3138,MinMax (Track A)
komsu_sayisi,0.6621,1.981,MinMax (Track A)
nufus,1.8739,5.0702,MinMax (Track A)
nufus_basi_tuketim,-0.0952,1.6168,MinMax (Track A)
ort_kesinti_suresi,4.7056,26.9945,MinMax (Track A)
sanayi_tesis_sayisi,16.3471,315.5743,MinMax (Track A)
sikayet_ariza_orani,2.4746,10.9072,MinMax (Track A)
sikayet_sayisi,1.0605,0.2279,MinMax (Track A)
ariza_sayisi,-1.116,2.6338,Log+Robust (Track B)
ariza_trend,2.0444,14.2908,Log+Robust (Track B)
ariza_yogunlugu,1.3478,3.9178,Log+Robust (Track B)
egitim_tesisi_sayisi,0.3705,-0.6839,Log+Robust (Track B)
kesinti_suresi_saat,-0.7091,0.1558,Log+Robust (Track B)
komsu_ort_ariza,-0.9014,0.7487,Log+Robust (Track B)
komsu_sayisi,-1.7655,7.9689,Log+Robust (Track B)
nufus,-0.9989,1.1911,Log+Robust (Track B)
nufus_basi_tuketim,-1.8274,4.6227,Log+Robust (Track B)
ort_kesinti_suresi,0.6651,2.2565,Log+Robust (Track B)
sanayi_tesis_sayisi,2.6464,8.2965,Log+Robust (Track B)
sikayet_ariza_orani,1.3976,3.0378,Log+Robust (Track B)
sikayet_sayisi,-1.0111,0.7452,Log+Robust (Track B)
