ilce,mahalle,anahtar,S11_Risk_Seviyesi,S11_Risk_Skoru_Surekli,S11_PoF_Skor,S11_CoF_Skor,S11_PoF_Seviye,S11_CoF_Seviye
ATAŞEHİR,İÇERENKÖY,ATAŞEHİR|İÇERENKÖY,Kritik Risk (Kırmızı Bölge),0.5359154408468736,0.644305849725759,0.8317718069376205,3,3
TUZLA,AYDINLI,TUZLA|AYDINLI,Kritik Risk (Kırmızı Bölge),0.5167828169133069,0.5951003568576702,0.868396079683255,3,3
KÜÇÜKÇEKMECE,HALKALI MERKEZ,KÜÇÜKÇEKMECE|HALKALI MERKEZ,Kritik Risk (Kırmızı Bölge),0.4967629830218324,0.6197917544973081,0.8014998254127145,3,3
ATAŞEHİR,KÜÇÜKBAKKALKÖY,ATAŞEHİR|KÜÇÜKBAKKALKÖY,Kritik Risk (Kırmızı Bölge),0.4929325991682449,0.6434878300653527,0.7660325124069287,3,3
SULTANGAZİ,ESENTEPE,SULTANGAZİ|ESENTEPE,Kritik Risk (Kırmızı Bölge),0.4843619811769805,0.6194591679839316,0.7819110705123095,3,3
ATAŞEHİR,MEVLANA,ATAŞEHİR|MEVLANA,Kritik Risk (Kırmızı Bölge),0.4826934167856739,0.6480072166188988,0.7448889524783673,3,3
PENDİK,SEYMEN,PENDİK|SEYMEN,Kritik Risk (Kırmızı Bölge),0.4788625991111807,0.6334292323819117,0.7559843698884762,3,3
KÜÇÜKÇEKMECE,İNÖNÜ,KÜÇÜKÇEKMECE|İNÖNÜ,Kritik Risk (Kırmızı Bölge),0.4765542815615921,0.6221724305911794,0.765952102874081,3,3
KADIKÖY,MERDİVENKÖY,KADIKÖY|MERDİVENKÖY,Kritik Risk (Kırmızı Bölge),0.4763459466108777,0.6577170352707076,0.7242414610940099,3,3
EYÜPSULTAN,KARADOLAP,EYÜPSULTAN|KARADOLAP,Kritik Risk (Kırmızı Bölge),0.4731126617016892,0.6395483952597772,0.7397605329140359,3,3
BEYLİKDÜZÜ,ADNAN KAHVECİ,BEYLİKDÜZÜ|ADNAN KAHVECİ,Kritik Risk (Kırmızı Bölge),0.4729293581810584,0.5894058499181216,0.8023832105615447,3,3
KÜÇÜKÇEKMECE,ATAKENT,KÜÇÜKÇEKMECE|ATAKENT,Orta Risk (Sarı Bölge),0.4722316947511956,0.5654984851161732,0.8350715469276327,2,3
SULTANGAZİ,UĞUR MUMCU,SULTANGAZİ|UĞUR MUMCU,Kritik Risk (Kırmızı Bölge),0.4720304199066215,0.6114556672933592,0.7719781582793878,3,3
SULTANGAZİ,CEBECİ,SULTANGAZİ|CEBECİ,Kritik Risk (Kırmızı Bölge),0.4720227656998049,0.6086032925677044,0.7755836543511543,3,3
BAŞAKŞEHİR,GÜVERCİNTEPE,BAŞAKŞEHİR|GÜVERCİNTEPE,Kritik Risk (Kırmızı Bölge),0.4711071228516271,0.6210571269037207,0.7585568258435917,3,3
PENDİK,KAYNARCA,PENDİK|KAYNARCA,Kritik Risk (Kırmızı Bölge),0.4710403621864431,0.6218891567622484,0.7574345959637376,3,3
SİLİVRİ,SELİMPAŞA,SİLİVRİ|SELİMPAŞA,Kritik Risk (Kırmızı Bölge),0.4708590238931733,0.6127724919811195,0.7684075738629619,3,3
ATAŞEHİR,ESATPAŞA,ATAŞEHİR|ESATPAŞA,Kritik Risk (Kırmızı Bölge),0.469671470230275,0.6614062228477117,0.710110449532944,3,3
KAĞITHANE,ORTABAYIR,KAĞITHANE|ORTABAYIR,Kritik Risk (Kırmızı Bölge),0.4678183764135767,0.6096462261544559,0.7673604073045692,3,3
MALTEPE,FINDIKLI,MALTEPE|FINDIKLI,Kritik Risk (Kırmızı Bölge),0.4645833899585554,0.65158621263077,0.7130037145549883,3,3
BAĞCILAR,MAHMUTBEY,BAĞCILAR|MAHMUTBEY,Kritik Risk (Kırmızı Bölge),0.4644487826435641,0.6163947840211721,0.7534923959181509,3,3
BAĞCILAR,DEMİRKAPI,BAĞCILAR|DEMİRKAPI,Kritik Risk (Kırmızı Bölge),0.4612948678476328,0.6016920437390598,0.7666627349449977,3,3
SULTANGAZİ,50. YIL,SULTANGAZİ|50. YIL,Kritik Risk (Kırmızı Bölge),0.4594577491225192,0.6058129692368968,0.758415175068418,3,3
AVCILAR,DENİZKÖŞKLER,AVCILAR|DENİZKÖŞKLER,Kritik Risk (Kırmızı Bölge),0.458421229692219,0.6077478228310305,0.7542951409628856,3,3
AVCILAR,YEŞİLKENT,AVCILAR|YEŞİLKENT,Kritik Risk (Kırmızı Bölge),0.4582923348989082,0.5956867211231001,0.7693512691282588,3,3
