ilce,mahalle_sayisi,ortalama_surekli_risk,ortalama_pof,ortalama_cof,kirmizi_adet,sari_adet,yesil_adet,kirmizi_oran
ATAŞEHİR,17,0.422687,0.633048,0.666815,10,7,0,0.5882
SULTANGAZİ,15,0.416039,0.597298,0.695023,10,4,1,0.6667
BAŞAKŞEHİR,11,0.409347,0.590843,0.694669,5,5,1,0.4545
AVCILAR,10,0.403295,0.569024,0.70626,4,5,1,0.4
KADIKÖY,21,0.401599,0.632306,0.634744,9,11,1,0.4286
BAYRAMPAŞA,11,0.39296,0.564682,0.695587,1,10,0,0.0909
GAZİOSMANPAŞA,16,0.388396,0.589182,0.657245,9,6,1,0.5625
BEYLİKDÜZÜ,10,0.383884,0.572909,0.668354,4,3,3,0.4
KAĞITHANE,19,0.382585,0.567455,0.67372,6,13,0,0.3158
KÜÇÜKÇEKMECE,21,0.377838,0.575205,0.653783,8,8,5,0.381
BAĞCILAR,22,0.374872,0.579639,0.644292,11,11,0,0.5
ÜSKÜDAR,33,0.361235,0.600407,0.600325,10,17,6,0.303
BÜYÜKÇEKMECE,24,0.356138,0.586106,0.60294,8,13,3,0.3333
MALTEPE,18,0.354012,0.566107,0.623698,3,10,5,0.1667
BAHÇELİEVLER,12,0.353253,0.524931,0.646682,2,8,2,0.1667
ÜMRANİYE,35,0.348761,0.5743,0.604529,7,24,4,0.2
TUZLA,17,0.345722,0.551491,0.622759,6,4,7,0.3529
ZEYTİNBURNU,12,0.341852,0.5329,0.640453,1,6,5,0.0833
SULTANBEYLİ,15,0.337301,0.517444,0.651839,0,6,9,0.0
EYÜPSULTAN,29,0.336141,0.568277,0.583919,7,16,6,0.2414
ESENLER,18,0.332517,0.532298,0.609081,5,7,6,0.2778
SARIYER,38,0.331316,0.580207,0.564364,10,17,11,0.2632
ESENYURT,44,0.33104,0.513155,0.637466,4,20,20,0.0909
PENDİK,36,0.327797,0.551607,0.583947,8,16,12,0.2222
GÜNGÖREN,11,0.323628,0.519375,0.621082,0,6,5,0.0
ŞİŞLİ,25,0.319348,0.544529,0.583375,3,11,11,0.12
SANCAKTEPE,19,0.312264,0.511419,0.608719,1,3,15,0.0526
KARTAL,20,0.308833,0.526551,0.584035,1,7,12,0.05
ARNAVUTKÖY,38,0.302093,0.533912,0.562488,1,20,17,0.0263
FATİH,56,0.293155,0.56309,0.516763,10,15,31,0.1786
BEŞİKTAŞ,23,0.274265,0.53214,0.512708,0,7,16,0.0
BAKIRKÖY,15,0.273013,0.487975,0.546022,1,4,10,0.0667
SİLİVRİ,35,0.267653,0.524588,0.485231,6,8,21,0.1714
ÇEKMEKÖY,21,0.256914,0.489194,0.519878,0,4,17,0.0
BEYKOZ,45,0.253959,0.51543,0.484334,4,10,31,0.0889
BEYOĞLU,45,0.230686,0.492642,0.462122,1,9,35,0.0222
ADALAR,5,0.225156,0.563317,0.401156,0,0,5,0.0
ÇATALCA,39,0.190197,0.47852,0.381888,0,4,35,0.0
ŞİLE,62,0.123475,0.362669,0.320262,0,1,61,0.0
